method,accuracy,balanced_accuracy,macro_f1,g_mean,many_shot_accuracy,medium_shot_accuracy,few_shot_accuracy
fusion_greedy,0.8226,0.8225999999999999,0.8209349022538233,0.8085877023218381,0.8902857142857142,0.8131428571428571,0.7546666666666667
fusion_tailaware,0.8196,0.8196000000000001,0.8176314171244933,0.8043109007428322,0.8931428571428571,0.8034285714285716,0.7526666666666666
dino_lift,0.8108,0.8108,0.8088129533258679,0.7959443388435865,0.8717142857142858,0.8134285714285714,0.7366666666666668
lift_clip,0.7171,0.7171000000000001,0.71500150399646,0.6926714942948525,0.7714285714285715,0.708,0.6643333333333333
lift_clip_mixup,0.6977,0.6977,0.6993986135580686,0.6759359816375667,0.7542857142857142,0.7088571428571429,0.6186666666666667
lift_clip_diff,0.675,0.6749999999999998,0.6668621933993958,0.6272735157818329,0.8065714285714287,0.6888571428571427,0.5053333333333333
dino_linear_probe_bs,0.6565,0.6565000000000001,0.6179927045859707,0.18308376255672362,0.8819999999999999,0.7151428571428572,0.325
clip_zeroshot,0.6265,0.6265,0.6130989744317703,0.5553030844453622,0.6382857142857142,0.6051428571428572,0.6376666666666667
clip_llm,0.626,0.626,0.6114622216582246,0.55255866724623,0.6182857142857142,0.606,0.6583333333333333
dino_linear_probe,0.4628,0.4628,0.38272839444006934,0.0001484363038814343,0.8842857142857142,0.42085714285714293,0.020000000000000004
cmo,0.4624,0.4624000000000001,0.4548569543545435,0.3899645561333985,0.6142857142857143,0.4434285714285714,0.3073333333333333
