method,accuracy,balanced_accuracy,macro_f1,g_mean,many_shot_accuracy,medium_shot_accuracy,few_shot_accuracy
vlm_fusion,0.6808,0.6808,0.6708830028595084,0.6399283671807363,0.8099999999999999,0.6454285714285716,0.5713333333333334
clip_only,0.6265,0.6265,0.6130989744317703,0.5553030844453622,0.6382857142857142,0.6051428571428572,0.6376666666666667
tau_norm,0.5435,0.5435000000000001,0.5327281657021136,0.47856649415849073,0.7197142857142858,0.5214285714285715,0.36366666666666664
balanced_softmax,0.5272,0.5272,0.5032807638520397,0.43650982019100226,0.7565714285714286,0.5154285714285715,0.2733333333333333
vision_only,0.5272,0.5272,0.5032807638520397,0.43650982019100226,0.7565714285714286,0.5154285714285715,0.2733333333333333
cmo,0.5138,0.5137999999999999,0.4796286477613919,0.38000481992568175,0.7979999999999999,0.4857142857142856,0.215
ensemble_tta,0.4942,0.49420000000000003,0.456828764424699,0.21572680156984064,0.7717142857142858,0.4925714285714286,0.17233333333333334
ensemble,0.4917,0.49169999999999997,0.45465038966507154,0.2125183560795281,0.7677142857142858,0.4865714285714285,0.1756666666666667
tier_fusion,0.4885,0.4885000000000001,0.4384663306914206,0.15587050017654816,0.7748571428571428,0.5125714285714286,0.12633333333333333
decoupling,0.4752,0.4752,0.440536597627107,0.26134629457636827,0.7368571428571429,0.476,0.16899999999999998
baseline,0.4607,0.4607,0.4194315393099091,0.14456634601773846,0.7502857142857141,0.4511428571428572,0.13399999999999998
meta,0.4307,0.4306999999999999,0.38592619998801225,0.022809310254910058,0.702,0.45942857142857135,0.08066666666666668
supcon,0.4297,0.4297000000000001,0.38263126289921234,0.07848218561484045,0.6957142857142855,0.4137142857142857,0.13799999999999996
